pc_learn;learning_outcome;cat_1;cat_2
4;kleinschrittig üben ist gut;Situationsdiagnostik;
2;man lernt ja im Grunde immer bei Unterrichtsvorbereitung, durch das aufarbeiten der Materialien (Erinnerung, neue Verknüpfung, neue Ideen o.ä.);Situationsdiagnostik;
2;Kleinschrittig vorgehen;Situationsdiagnostik;
2;Kollegen können schwierig sein.;Situationsdiagnostik;
2;Man muss seine Mails nochmal lesen, bevor man sie verschickt. Und zwar konzentriert;Bewusstsein der Bedeutung von Konzentration;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten
4;Man muss sich kümmern;Nichts;
2;Man muss unbedingt rechtzeitig schauen, ob genügend Prüfungspapier vorhanden ist;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Man soll sich keine Sorgen machen über Dinge, die noch ungewiss sind.;Gelassenheit;
0;Man sollte das digitale Endgerät nur zu festgelegten Zeiten nutzen;Nichts;
0;Man sollte die Türe schließen oder die Schule verlassen, wenn man ungestört Pause machen möchte;Nichts;
7;Man sollte Fragen und auch um Hilfe bitten;Bewusstsein der Bedeutung von Selbstreflexion;
0;Man sollte in den Ferien die Korrekturen nicht immer ganz nach hinten verschieben.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
4;man sollte nie zwei Aufgaben parallel machen müssen. Hierbei kommen beide Gruppen zu kurz;Bewusstsein der Bedeutung von Konzentration;
4;Man sollte sich immer auf Unvorhergesehens einstellen… Die Technik führt ein Eigenleben. Einen großen Teil der Stunde habe ich versucht, den PC mit dem Beamer zu verbinden.;Situationsdiagnostik;
2;Man sollte Unterrichtsvornereitingen der Vorjahre immer auch zuhause zur Verfügung haben;Situationsdiagnostik;
0;Man wird immer gestört in der Pause;Nichts;
2;Manche Anregungen zur Reflexion und Unterrichtsentwicklung, die ich mir auf den Stapel gelegt hatte, fand ich beim Aufräumen der Reste des letzten Schuljahres wieder: z. B. visuelle Reflexion mit Wetter-Bildern, ...;Nichts;
2;manche Kollegen arbeiten sehr ressourcenschonend;Situationsdiagnostik;
0;Manche kollegen halten nicht viel von Ordnung;Situationsdiagnostik;
2;Manche Sachen einfach laufen lassen und es wird sich eine Lösung finden.;Situationsdiagnostik;
0;Manche Schüler akzeptieren lieber die Note als sich die Arbeit zu machen;Situationsdiagnostik;
1;Manche Schüler denken man ist blöd;Nichts;
1;Manche Schüler kommen jetzt erst zur Anmeldung;Nichts;
1;Manche Schüler nutzen lassen es auf die allerletzte Chance ankommen, obwohl Bestehen so immer unwahrscheinlicher wird.;Situationsdiagnostik;
3;Manche Schüler sind unberechenbar.;Situationsdiagnostik;
1;manche Sus sind nun mal träge;Situationsdiagnostik;
0;"manche SuS wissen unglaublich viel.
wenn es gelingt deren Kreativität anzuzapfen, ist es ein Segen.";Situationsdiagnostik;
1;Manche Telefonate könnte man sich auch sparen;Nichts;
0;Kooperationszeit ist prinzipiell gute Idee,aber damit ist ein Zeitraum für freie Zeitgestaltung blockiert,deswegen werte ich es als Arbeitszeit;Sonstiges;
6;Manchmal bringt auch die beste Organisation nichts :(;Jobunzufriedenheit/Frustration ;
7;manchmal ist allesneinfacher ohne firewall. videokonfernenz system erfolgreich aufgesetzt;Nichts;
2;Manchmal klappen die Sanktionsmaßnahme.;Nichts;
1;Manchmal können sich Schüler nicht am PC anmelden und ich selbst kann nichts dagegen unternehmen, außer den Admin rufen;Nichts;
4;Manchmal muss man den Schülern auch sagen, dass irgendwann ein Ende erreicht ist.;Situationsdiagnostik;
4;mangelhafte Kommunikation durch den Schulträger mit der Schulleitung,;Nichts;
2;Mangelnde Mitarbeit bei Schülern muss protokolliert werden;Nichts;
1;mangelnde Rückmeldung auf geschriebene Mails;Nichts;
2;Maschinen für Konditoren;Nichts;
1;Maske Bewerberliste freigeben;Nichts;
0;Maskenpflicht ab Montag aufgehoben;Nichts;
5;Maßnahmen nach Paragraph 90 für Schüler beschließen;Nichts;
2;Maßnahmen zur Optimierung des Unterrichtes erkannt;Situationsdiagnostik;
0;Material einer Kollegin ist gut zu gebrauchen;Nichts;
5;Material erhalten;Nichts;
1;Material vorbereitet;Nichts;
3;MAterialen sortiert und weggeräumt, Listen vervollständigt und abgegeben, …;Nichts;
4;Materialien sondiert;Nichts;
1;Materialien sortiert;Nichts;
0;Mathematik kurz vor dem Mittagessen ist immer sehr effektiv;Nichts;
7;Medieneinsatz;Sonstiges;
3;Medienkompetenz bei Kindern;Nichts;
4;Medienkompetenz: Einrichtung Laptop und Audiogeräte;Festigung von Kernkompetenzen;
2;mehr abwechselnde Methoden, Differenzierungsaufgaben;Situationsdiagnostik;
2;Mehr Durchsetzungsvermögen aneignen;Fähigkeit zur Selbstreflexion;
2;mehr Fachkenntnis;Wissenserweiterung;
5;Mehr Gelassenheit im Umgang mit Schülern;Gelassenheit;
1;Mehr Kommunikation über eigene Erwartungen wäre sinnvoll;Bewusstsein der Bedeutung von Selbstreflexion;
0;Mehr kontrollieren,  was Schüler tun;Situationsdiagnostik;
2;mehr Tempo im Unterricht;Situationsdiagnostik;
2;Mehr über das persönliche Umfeld eines Schülers erfahren;Wissenserweiterung;
5;mehr über die private und persönliche Belastung erfahren;Wissenserweiterung;
0;mehr Zeit einplanen;Situationsdiagnostik;
3;Mehr zeitlichen Puffer einplanen;Situationsdiagnostik;
0;mehrtägige Fortbildungen mit Leitungsfunktion sind sehr anstrengend;Situationsdiagnostik;
4;Mein Mann hat mir geholfen die APP für die digitale Datenerfassung herunterzuladen und mit den Sensoren zu verbinden. Dann haben wir zusammen die APP ausprobiert.;Wissenserweiterung;
2;Leider nur, dass auch der abwechslungsreichste Unterricht mit Methodenwechsel bei lernunwilligen Schülern nicht weiterhilft.;Situationsdiagnostik;
3;Meine Ansichten;Nichts;
7;Meine Assistentin, die mich bei der gestrigen Dienstbesprechung für Abteilungsleiter vertreten hat, hat mich über die wichtigsten Informationen gebrieft;Wissenserweiterung;
0;Manche Themen müssen noch öfter besprochen werden;Situationsdiagnostik;
7;"Meine These stimmt: Wenn die SuS lernen, können sie auch gute Leistungen erreichen. Dieses ""Gute-Noten-Nachwerfen"" ist lächerlich und nicht zielführend.";Situationsdiagnostik;
2;Meine Unterlagen müssen richtig in Ordnung gebracht werden. Und digitale Form bringen - Vorbereitung mit One Note oder Good Note zu arbeiten.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
7;Meinung und Erfahrung ausrauschen;Nichts;
5;Gemeinsame Entwicklung von Unterrichtsideen;Gemeinsame Planung und Problemlösung;
4;Meistens bereite ich nicht nur die anstehende Stunde vor, sondern schaue auch die nächsten 2-3 genauer an. Die Vorbereitung dauert dann länger als gedacht und die Zeit rennt davon, aber ich fühle mich dann besser vorbereitet;Fähigkeit zur Selbstreflexion;
1;"meistens sind meine eigenen ""neuen"" Ideen dich nicht mehr so neu... und ich habe die Unterlagen schon Digital verfügbar";Fähigkeit zur Selbstreflexion;
1;Mensch sind unterschiedlich.;Situationsdiagnostik;
1;Menschenkenntnis;Festigung von Kernkompetenzen;
2;Menschenkenntnis, Gesprächsführung;Festigung von Kernkompetenzen;
0;Menschlichkeit;Sonstiges;
6;Mentale Gesundheit;Nichts;
2;"Mentor
";Nichts;
0;Mentorat;Nichts;
1;Mesomerie chemischer Strukturen;Nichts;
3;Messebesuch auf Fachmesse, interessante Impulse.;Wissenserweiterung;
1;Messengeraustausch mit Klasse funktioniert sehr gut;Situationsdiagnostik;
3;Metakognitive;Nichts;
1;Metatkommunikation;Nichts;
5;Methode Gruppeneinteilung;Lernen neuer Arbeitsmethoden;
4;Methode kam bei Schülern gut an;Situationsdiagnostik;
1;Methoden abwechseln, mehr kooperatives Lernen;Lernen neuer Arbeitsmethoden;
3;Methoden der Binnendifferenzierung;Lernen neuer Arbeitsmethoden;
3;Methodenvielfalt und digitale Umsetzung.;Lernen neuer Arbeitsmethoden;
2;Methodik und Didaktik;Festigung von Kernkompetenzen;
2;Methodisch;Nichts;
2;mich besser organisieren;Gewissenhaftes, sorgfältiges Arbeiten;
3;mich durchzusetzen;Festigung von Kernkompetenzen;
3;mich mit anspruchsvollen spanischen Texten auseinandergesetzt zur Prüfungserstellung, was bei der normalen Unterrichtsvorbereitung nicht üblich ist;Wissenserweiterung;
0;Micro Python installieren;Nichts;
7;Microcontroller: weitere Schaltungen aufgebaut und programmiert;Nichts;
1;Mikrobiologie;Nichts;
3;Mindestens zwei Sicherungskopien erstellen;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Meine Lösungen für KA sind oft zu schwierig für die Schüler;Situationsdiagnostik;
0;Muss den SuS unbedingt die Operatoren nocheinmal erklären;Situationsdiagnostik;
0;miserable Organisation durch Schulleitung führt zu Mehrbelastung;Situationsdiagnostik;
1;Missverständnis ausgeräumt, unklarer Ablauf gewesen, nicht klar kommuniziert;Fähigkeit zur Selbstreflexion;
2;mit anspruchsvollen Texten für eine zentrale Prüfung gearbeitet;Nichts;
2;Mit book creator ein e-book für den morgigen Unterricht erstellt und somit gelernt, wie ich dies weiterhin anwenden kann;Wissenserweiterung;
0;Mit den Kollegen den Unterrichtsstart abgesprochen und die Arbeitsblätter bis Dienstag verschickt und besprochen.;Nichts;
1;Mit den Schülern einen Bericht für das Jahresmagazin geschrieben;Nichts;
1;Mit einer neuen Abteilungsleitung ändern sich die Vorgaben manchmal so kurzfristig, dass man unter Zeitdruck gerät.;Situationsdiagnostik;
3;Mit Hilfe des Hausmeisters konnte ich die Ursache der Fehlfunktion bei den Gasbrennern beheben.;Nichts;
1;Mit Humor ist alles einfacher;Situationsdiagnostik;
1;Mit interessanten Themen machen SuS mit;Situationsdiagnostik;
0;Mit Kinderbetreuung gehet korrigieren sehr schleppend, trotz vorgefertigtem Erwartungsbild.;Nichts;
1;Mit neuem Bildungsplan neue Bergriffe in den Unterricht eingearbeitet und in Leistungskontrollen integriert.;Nichts;
4;Mit neuen Hallen umgehen;Sonstiges;
5;Mit neuer Technik vertraut gemacht;Wissenserweiterung;
1;Mit privaten Problemen sollte man besser zuhause bleiben, sonst leider nur die SuS darunter;Situationsdiagnostik;
4;Mit Projekten lernt man nie aus;Situationsdiagnostik;
1;Mit schwierigen Klassen viel praktische Übungen machen;Situationsdiagnostik;
1;Mit spanischer Muttersprachlerin auf Spanisch Mails geschrieben. Mein Spanisch verbessert.;Festigung von Kernkompetenzen;
7;Miteinander sich austauschen hilft;Positive Einstellung zur Teamarbeit;
7;Mitgestaltung Stundenpläne als ÖPR;Nichts;
0;Mittagessen;Nichts;
0;Mittagspause;Nichts;
2;Mittagspause, Austausch;Nichts;
0;Mittwochskonferenz zum informationsaustausch;Nichts;
0;Moderation und Transparenz sehr wichtig;Situationsdiagnostik;
5;Möglicher Umgang mit Stress;Situationsdiagnostik;
4;Möglichkeiten neue Unterrichtsmaterialien einzusetzen. Zusammenarbeit und Fortbildungsmöglichkeiten mit Unternehmen in Baden-Württemberg;Wissenserweiterung;
2;Möglichst wenig vor sich herschieben;Gewissenhaftes, sorgfältiges Arbeiten;
0;Möglichst zeitnah mündliche Noten dokumentieren;Gewissenhaftes, sorgfältiges Arbeiten;
0;Montagmorgen: sehr träge Schüler, kaum zu motivieren;Nichts;
0;Moodle ist aufwendig.;Situationsdiagnostik;
1;moodle mastern;Wissenserweiterung;
4;moodle-Kurse zu sichern und zu exportieren;Wissenserweiterung;
3;Moral dilemmas bringen ein großes Diskussionenspotenzial mit sich;Situationsdiagnostik;
3;Morgens kann man Stress einfacher bewältigen als Abends.;Situationsdiagnostik;
0;Morgens nicht ans Handy gehen, wenn sich Kollegen bei mir privat krank melden;Nichts;
6;Morgens sollte man nicht schnell Klassenarbeiten für Nachschreibtermine geringfügig ändern. Zu stressig;Situationsdiagnostik;
0;Motivation der Schüler sehr gering;Situationsdiagnostik;
3;Motivation ist alles;Motivation;
0;motivierendere Aufgabenstellung gefunden;Nichts;
2;MS Office-Anwendung;Nichts;
3;Mündlich Prüfung vorbereiten - teilweise zum 1. Mal;Nichts;
4;Mündliche Abi Prüfungen vorbereiten;Nichts;
7;Mündliche Prüfung abgenommen;Nichts;
7;Mündliche Prüfungen;Nichts;
1;mündliche Prüfungen + Vorbereitung;Nichts;
7;Mündliche Prüfungen abgenommen;Nichts;
7;Mündliche Prüfungen, Notenkonferenz, Prüfungsnotenverkündigung, Zeugnisse schreiben;Nichts;
1;Probleme in der Klasse bewältigen;Situationsdiagnostik;
0;muss eben sein;Nichts;
0;muss eben sein!;Nichts;
2;Muster,sungen von Prüfungsaufgaben sind oft falsch;Nichts;
2;Musterlösung erarbeitet;Nichts;
3;Musterlösung für KA erstellen;Nichts;
0;N;Vermutliche Falscheingabe;
0;Nach 20 Schuljahren überrascht mich fast nichts mehr;Nichts;
3;Nach 5 Wochen komplett abschalten in den Ferien war es sehr schön die ersten Chemiestunden vorzubereiten!;Jobzufriedenheit;
5;Nach den Ferien hat man wieder Energie und Lust kreativ zu sein / sich selbst wissen anzueignen / eigenen Unterricht zu reflektieren zu verbessern;Situationsdiagnostik;
0;Nach den Prüfungen sind die 13 er eher schwer zu motivieren.;Situationsdiagnostik;
0;Nach der Prüfung ist sehr viel Unruhe in der Klasse;Situationsdiagnostik;
0;Nach einer KA isr die Klasse unruhiger;Situationsdiagnostik;
0;Nach einigen Tagen Abschalten ist das Reinfinden in die Vielfalt der Aufgaben schwierig.;Situationsdiagnostik;
1;Nach Theaterbesuch noch korrigieren müssen... Weder Lust noch Power vh;Emotionale Erschöpfung;
0;Nacharbeit Anne-Frank-Tag, Interview mit eventueller Gastreferentin jüdisches Leben in unserer Stadt (Referentin ist Jüdin);Nichts;
0;Nacharbeit eines Fragebogens zur Evaluation Schulversuch AVdual: ich bin mit der Gestaltung und Ausfüllung des Fragebogens durch das Team nachträglich unzufrieden, v.a.wurden wichtige Hintergründe gar nicht abgefragt;Situationsdiagnostik;
0;Nachbereiten nach einem Achtstundentag kaum möglich, wegen Müdigkeit;Nichts;
2;Nachbereitung Unterricht;Nichts;
0;Nachbereitung von mehreren Unterrichtseinheiten aus Gk und Eth zeigt Interessante Möglichkeiten auf;Situationsdiagnostik;
0;Nachbetreuung Kammer;Nichts;
7;Nachfragen;Fähigkeit zur Selbstreflexion;
0;Nachhaken wg Führung, weiterleiten von Listen;Nichts;
2;Nachlesen von Inhalten - Wissen erweitern;Wissenserweiterung;
0;Nachmittagsunterricht mit wenig motivieren Schülern;Nichts;
1;Nachmittagsunterricht sorgt immer für Unruhe;Situationsdiagnostik;
1;Nachmittagsunterricht: Schüler motivieren;Nichts;
1;Nachschreibearbeit erstellt und Raum reserviert;Nichts;
2;Nachschreibearbeiterstellt;Nichts;
2;Nachschreiber beaufsichtigt;Nichts;
2;Nachschreiber betreut;Nichts;
1;Nachschreiber korrigiert und Notenlisten aktualisiert;Nichts;
3;Nachschreiber korrigiert, Musterlösung für Besprechung erstellt;Nichts;
0;Nachschreiber machen sehr viel Zusatzarbeit. Und seit der Pandemie werden es immer mehr.;Situationsdiagnostik;
0;Nachschreiber machen unheimlich viel Zusatzarbeit.;Situationsdiagnostik;
5;Nächstes Mal andere Feedbackmethoden benutzen, am besten vorgefertigt!;Situationsdiagnostik;
2;"Nachteilsausgleich eines Schülers, der heute bewilligt wurde und am Mittwoch muss die Mehrzeit in der Kommunikationsprüfung in der Vorbereitung umgesetzt werden
";Nichts;
0;Nachträgliche Einrichtung einer Vano- Klasse, schwangere Kollegin benötigt zwei Räume und so weiter: Irgendwie geht es immer;Nichts;
1;Nachträgliches Zeugnis erstellen;Nichts;
3;Namen aller Schüler der neuen Klasse;Nichts;
5;NAV 2018 bucht keine Beitragsnachweise mit derSchüleranmeldung. Auch das Zurücksetzen der Schüler ermöglicht dies nicht.;Nichts;
3;NAV 2018 hat immer noch einige Fehler;Situationsdiagnostik;
3;NAV 2018 kann in der Übungsdatenbank wie in der Firmen DB eingesetzt werden, wenn die Schüler sich nicht unter ihrer Nummer anmelden.;Situationsdiagnostik;
1;NAV 2018 Zurücksetzen von Schülermandanten dauert sehr lange;Nichts;
5;NAV 2018: Kontierungen bei der Gehaltsabrechnung;Wissenserweiterung;
2;NAV 2018: kopierte Mandanten werden angezeigt, sind aber trotzdem nicht für die Schüler zu benutzen;Nichts;
7;Navigationssysteme in der Land- und Baumaschinentechnik;Wissenserweiterung;
1;Navision;Nichts;
2;Navision ist kompliziert;Situationsdiagnostik;
0;Nebenbei Habachtstellung wegen Ersatzaufsicht, parallel Präsentationsstunde Ethikunterricht (Einheit länger geplant,als Aufsichtsplan steht,daher nicht änderbar);Nichts;
0;Nein;Nichts;
0;Nervige Diskussion mit rauchenden Schülern jede Aufsicht neu;Nichts;
0;Nette Kollegen unterstützen sich, wenn es notwendig erscheint.;Positive Einstellung zur Teamarbeit;
4;nette Telefongespräche für Praktikumsplätze für Auszubildende;Nichts;
2;Kollegen vertrauen;Psychologische Sicherheit;
1;Netzwerk anschließen;Nichts;
7;Netzwerkarbeit ist wichtig;Positive Einstellung zur Teamarbeit;
3;Neue Abituraufgabenformate;Nichts;
5;"Neue Abiturformate
Materialgebundene Aufgaben";Nichts;
2;neue Abläufe in der  Schule die vorab nicht kommuniziert wurden;Nichts;
1;Neue aktuelle Praxisbeispiele;Nichts;
2;neue Anregungen;Wissenserweiterung;
6;Neue Anregungen durch andere Prüferinnen.;Wissenserweiterung;Positive Einstellung zur Teamarbeit
3;neue Ansatzpunkte für Aufsatztraining;Wissenserweiterung;
4;Neue Anwendersoftware Anforderungen;Wissenserweiterung;
1;Neue App zum Unterrichtseinstieg;Wissenserweiterung;
4;Neue Apps kennengelernt;Wissenserweiterung;
3;Neue Aspekte bei Themengebieten, deren Inhalte sich mit dem neuen Bildungsplan geändert haben;Wissenserweiterung;
5;Neue Aspekte des Bildungsplans;Wissenserweiterung;
4;Neue Aufgabe in der Lehrerausbildung;Nichts;
2;Neue Aufgaben im Sekretariat;Nichts;
7;Neue Aufgabenformate Abitur 2024;Wissenserweiterung;
1;Neue Aufgabenformate für Klassenarbeit gefunden;Nichts;
0;Neue Berufsschüler als Klassenlehrer empfangen und eingeschult;Nichts;
2;Neue Bildungspläne;Wissenserweiterung;
2;Neue Coronabestimmungen beschäftigen die Schüler*innen und führen zu erhöhtem Gesprächsbedarf;Nichts;
1;neue CoronaVO Schule, Nachtestung;Wissenserweiterung;
4;neue didaktische Methode;Lernen neuer Arbeitsmethoden;
2;Neue digitale App verwendet;Nichts;
6;Neue digitale Medien für Themen des neuen Lehrplans gefunden;Wissenserweiterung;
5;Neue digitale Methoden ausprobiert.;Lernen neuer Arbeitsmethoden;
2;Neue Erkenntnisse durch Recherche zu den Unterrichtsthemen;Wissenserweiterung;
3;Neue Erkenntnisse durch Schülermeinung;Wissenserweiterung;
4;Neue Erkenntnisse im Blick auf  die Pflichtlektüre;Wissenserweiterung;
2;neue Erkenntnisse über Denkweise von Schüler:innen gewonnen;Wissenserweiterung;
1;neue Erkenntnisse über Wasserstoff;Wissenserweiterung;
1;Neue Fachinformationen erhalten;Wissenserweiterung;
2;Neue fachinhalte;Wissenserweiterung;
3;Neue Fachinhalte erarbeitet;Wissenserweiterung;
3;Neue Fachinhalte vorbereitet;Nichts;
4;Neue fachliche Erkenntnisse;Wissenserweiterung;
2;Neue fachliche Inhalte recherchiert;Wissenserweiterung;
4;Neue Fachliche Standards;Wissenserweiterung;
2;Neue Fachliteratur gesichtet;Wissenserweiterung;
7;neue Fähigkeiten;Wissenserweiterung;
2;Neue Formatirungen für Prüfungsaufgaben;Nichts;
2;neue Funktion des Stundenplanprogramms;Wissenserweiterung;
5;neue Funktionen bei Moodle entdeckt;Wissenserweiterung;
0;neue Funktionen bei word angewendet;Nichts;
6;Neue Gesetzeslage;Wissenserweiterung;
3;neue Ideen;Wissenserweiterung;
0;Neue Ideen Abiball;Wissenserweiterung;
4;neue Ideen eingesetzt;Nichts;
1;Neue Ideen für Aufgabenstellungen;Wissenserweiterung;
0;neue Ideen für den Unterricht entwickelt;Wissenserweiterung;
1;Neue Ideen für ein Programm;Wissenserweiterung;
3;Neue Ideen für Klassenklima;Wissenserweiterung;
5;neue Ideen für Unterricht;Wissenserweiterung;
2;Neue Ideen für Unterricht nächstes SJ;Wissenserweiterung;
1;Neue Ideen für Unterrichtsbeispiele und Klassenarbeiten;Wissenserweiterung;
4;neue Ideen zur Unterrichtsgestaltung;Wissenserweiterung;
6;Neue Ideen, Programme kennengelernt;Wissenserweiterung;
4;neue Impulse;Wissenserweiterung;
5;Neue Impulse für meinen Unterricht;Wissenserweiterung;
3;neue Infoa;Wissenserweiterung;
1;Neue Informatik Inhalte (Interseiten erstellen), da ich Fachfremd unterrichte.;Wissenserweiterung;
1;Neue Information zur Hauseitschaftrrinnen Ausbildung;Wissenserweiterung;
1;Neue Informationen;Wissenserweiterung;
3;Neue Informationen über technische/digitale Anwendungen erhalten;Wissenserweiterung;
3;Neue Informationen zu den Seminarkursthemen;Wissenserweiterung;
1;Neue Informationen zu meinem Aufgabengebiet;Wissenserweiterung;
5;Neue Informationen zu Terminen.;Wissenserweiterung;
2;Neue Informationen zu unserem Schulnetz;Wissenserweiterung;
2;neue Infos;Wissenserweiterung;
7;neue Infos erhalten;Wissenserweiterung;
1;neue Infos in GFS;Wissenserweiterung;
2;neue Infos über Autismus und Nachteilsausgleich;Wissenserweiterung;
2;neue Infos zur Digitalisierung erhalten;Wissenserweiterung;
3;neue Inhalte;Wissenserweiterung;
6;Neue Inhalte Abiturrelevant;Wissenserweiterung;
5;neue Inhalte für LFB;Wissenserweiterung;
4;Neue Inhalte gelernt;Wissenserweiterung;
3;"Neue Inhalte zum fachfremden Fach Informatik eigenständig gelernt; z.B. Div-Tag, Table-tag, ...";Wissenserweiterung;
2;Neue Kennenlernspiele recherchiert und vorbereitet, neuen Lehrplan vertieft;Nichts;
6;Neue Kenntnisse zu Lehrereinstellung;Wissenserweiterung;
4;Neue Klasse - Schüler von der Hauptschule bis abgebrochenes Studium;Nichts;
1;Neue Klasse aufgenommen;Nichts;
1;Neue Klasse besser kennengelernt;Nichts;
1;Neue Klasse bzw neues Fach;Nichts;
0;neue Klasse, übergangsweise, zusätzlich;Nichts;
3;Neue Klassen in Empfang nehmen, kennenlernen etc;Nichts;
0;"Neue Klassen
";Nichts;
4;Neue Klassenarbeit erstellen mit dem neuen Navision;Nichts;
5;neue Klassenarbeitsaufgaben;Nichts;
2;neue Kontakte;Nichts;
2;Neue Lehrer bei der Einstbeitung ungestützen;Nichts;
5;Neue Lehrplaninhalte Ethik in eigenen Unterricht einpflegen und gestalten, Material sichten, Ideen zur didaktischen Umsetzung sammeln;Nichts;
7;neue Lehrplaninhalte vorbereitet;Nichts;
3;neue Lernarrangements;Nichts;
4;Neue Lerninhalte;Wissenserweiterung;
4;neue Lernmethoden;Lernen neuer Arbeitsmethoden;
3;neue Lernsituationen in ukrainischer Klasse kennengelernt;Wissenserweiterung;
5;Neue Lernsoftware ausprobiert;Wissenserweiterung;
4;Neue LFB Inhalte;Wissenserweiterung;
3;Neue Materialien entdeckt und in meinen U. eingearbeitet;Wissenserweiterung;
7;Neue Materialien gesichtet, Organisation der Bücher;Wissenserweiterung;
0;Neue Medien kennengelernt;Wissenserweiterung;
7;neue Methoden;Lernen neuer Arbeitsmethoden;
5;neue Methoden für die Theater- und Schreibarbeit;Lernen neuer Arbeitsmethoden;
4;Neue Methoden im digitalen Unterricht;Lernen neuer Arbeitsmethoden;
3;neue Methodik ausprobiert, war gut;Lernen neuer Arbeitsmethoden;
2;Neue Methodik planen und einsetzen.;Lernen neuer Arbeitsmethoden;
5;neue Methodische ideen;Wissenserweiterung;
0;"Neue Mitteilung, dass ein Schüler positiv getestet wurde - PCR Test erst morgen

Ein Schüler versucht jetzt regelmäßig den Unterricht zu besuchen. Er hat Auflage vom Gericht.";Nichts;
3;neue Möglichkeit zur Lernzielkontrolle ausprobiert;Wissenserweiterung;
6;Neue Möglichkeiten digitalisierten Unterrichts;Wissenserweiterung;
2;neue Möglichkeiten entdeckt;Wissenserweiterung;
7;Neue naturwissenschaftliche Erkenntnisse und Methoden;Wissenserweiterung;
2;Neue Netzwerkpartner für Kindergarten;Nichts;
2;Neue Ordner erstellent/Struktut;Gewissenhaftes, sorgfältiges Arbeiten;
3;Neue Orga der Prüfungsunterlage;Gewissenhaftes, sorgfältiges Arbeiten;
2;neue Orhanisationen;Wissenserweiterung;
2;neue Perspektiven;Wissenserweiterung;
4;Neue Perspektiven für die Notenfindung, neue Aspekte für Unterricht etc.;Wissenserweiterung;
5;Neue Pflichtlektüre;Nichts;
7;Neue Pflichtlektüren;Nichts;
4;Neue Powerpoint erstellt;Nichts;
0;Neue Pressemitteilung zur Testung in Schulen des Kultusministeriums gelesen;Nichts;
1;Neue Programmfunktionen;Wissenserweiterung;
0;Neue Prüfungsanforderung erfahren;Wissenserweiterung;
2;Neue Prüfungsordnung - schon wieder …. Dafür Übungsaufgaben erstellt;Nichts;
7;Neue Prüfungsordnung im Großhandel;Wissenserweiterung;
2;Neue Prüfungssettings;Nichts;
6;Neue Regelungen Abitur zu Kenntnis genommen und kommuniziert;Wissenserweiterung;
2;Neue Rezepte kennengelernt;Wissenserweiterung;
3;Neue Schularten im Übergangssystem und Auswirkungen auf die Seminarausbildung;Wissenserweiterung;
2;Neue Schularten und Ideen aus Pfalz und anderer Schule;Wissenserweiterung;
3;Neue Schüler von anderen Schulen kennen lernen;Nichts;
1;Neue Schülergruppe;Nichts;
2;Neue Schüler-Gruppe;Nichts;
1;Neue Schüler-u. Schülerinnen-Gruppe;Nichts;
7;neue Schülerversuche getestet;Nichts;
3;neue script Sprache;Wissenserweiterung;
2;Neue Sichtweise auf Probleme;Situationsdiagnostik;
3;Neue Software Einstellungen;Wissenserweiterung;
1;Neue Studien;Wissenserweiterung;
3;Neue SuS-Verwaltungssoftware;Wissenserweiterung;
3;neue Tätigkeiten als Klassenlehret;Nichts;
5;Neue Technik;Wissenserweiterung;
5;Neue Techniken kennengelernt. Vertrauen in Lerngruppe gestärkt. Mitverantwortlich abgeben können.;Wissenserweiterung;
4;neue Texte kennengelernt;Wissenserweiterung;
6;Neue theaterpädagogische Ansätze, Ausrausch mit Kolleg:innen;Nichts;
3;Neue Themen erarbeitet;Nichts;
6;neue Themen und Inputs;Wissenserweiterung;
5;Neue Themen, Informationen über aktuelle Entwicklungen am ZSL;Wissenserweiterung;
2;neue Tools und Ideen;Wissenserweiterung;
1;Neue Tricks und Vorgehensweise;Wissenserweiterung;
2;Neue Umgangsregeln  wegen Corona;Wissenserweiterung;
1;Neue unterrichtseinheit;Nichts;
6;Neue Unterrichtseinheit vorbereitet;Nichts;
3;Neue Unterrichtseinheiten vorbereitet;Nichts;
4;neue Unterrichtsimpulse;Nichts;
3;neue Unterrichtsinhalte;Wissenserweiterung;
2;neue Unterrichtsinhalte  vorbereitet;Nichts;
3;neue Unterrichtsinhalte in der kaufmännischen Berufsbildung;Wissenserweiterung;
3;neue Unterrichtsinhalte vorbereitet;Nichts;
4;neue Unterrichtsinhalte vorbereitet, Stunden entworfen;Nichts;
6;Neue Unterrichtsmethode angewendet, die in der Klasse gut angenommen wurde;Lernen neuer Arbeitsmethoden;
4;neue unterrichtsmethoden entwickeln;Lernen neuer Arbeitsmethoden;
0;Neue Unterrichtsplanung für EK-SG-Chemie-Unterricht;Nichts;
2;Neue Unterrichtsthemen;Wissenserweiterung;
2;Neue unterritsinhalte erarbeitet;Nichts;
3;neue Vorgaben als Klassenlehrer;Wissenserweiterung;
1;neue Wege der Vermittlung;Wissenserweiterung;
7;Neue wissenschaftliche Inhalte und Methoden;Wissenserweiterung;Lernen neuer Arbeitsmethoden
